BSSID,Epoch,Temperature
EC:DA:3B:0F:5C:AC,1681683713,20.4604
master,1681683713,20.1292
48:27:E2:AD:85:D0,1681683714,20.1421
48:27:E2:AD:91:38,1681683714,17.6923
EC:DA:3B:0F:5C:AC,1681683714,20.4604
master,1681683714,20.1292
48:27:E2:AD:85:D0,1681683715,20.1421
48:27:E2:AD:91:38,1681683715,17.0476
EC:DA:3B:0F:5C:AC,1681683715,20.6708
master,1681683715,20.3323
48:27:E2:AD:85:D0,1681683716,20.1421
48:27:E2:AD:91:38,1681683716,17.6278
EC:DA:3B:0F:5C:AC,1681683716,20.3903
master,1681683716,20.2646
48:27:E2:AD:85:D0,1681683717,20.1421
48:27:E2:AD:91:38,1681683717,17.0476
EC:DA:3B:0F:5C:AC,1681683717,20.5306
master,1681683717,20.0615
48:27:E2:AD:85:D0,1681683718,20.1421
48:27:E2:AD:91:38,1681683718,17.6278
EC:DA:3B:0F:5C:AC,1681683718,20.3202
master,1681683718,19.9262
48:27:E2:AD:85:D0,1681683719,20.0051
48:27:E2:AD:91:38,1681683719,17.5634
EC:DA:3B:0F:5C:AC,1681683719,20.6007
master,1681683719,20.2646
48:27:E2:AD:85:D0,1681683720,20.1421
48:27:E2:AD:91:38,1681683720,17.0476
EC:DA:3B:0F:5C:AC,1681683720,20.4604
master,1681683720,20.4000
48:27:E2:AD:85:D0,1681683721,20.1421
48:27:E2:AD:91:38,1681683721,17.6278
EC:DA:3B:0F:5C:AC,1681683721,20.4604
master,1681683721,20.2646
48:27:E2:AD:85:D0,1681683722,20.7586
48:27:E2:AD:91:38,1681683722,17.6278
EC:DA:3B:0F:5C:AC,1681683722,20.4604
master,1681683722,20.0615
48:27:E2:AD:85:D0,1681683723,20.0051
48:27:E2:AD:91:38,1681683723,17.6923
EC:DA:3B:0F:5C:AC,1681683723,20.5306
master,1681683723,20.0615
48:27:E2:AD:85:D0,1681683724,20.1421
48:27:E2:AD:91:38,1681683724,17.7568
